년월,검색량_평균,검색량_최소,검색량_최대
201605,20.487054285714287,17.87739,23.63083
201606,23.845336964285714,17.85334,29.29147
201607,21.374371312500003,17.80364,26.8668
201608,23.104018875,18.38125,29.97711
201609,24.396310803571428,15.71607,30.56353
201610,26.48479537815126,19.71364,33.55619
201611,23.201996651583713,18.9298,27.71157
201612,21.996848397435897,17.21521,25.80799
201701,23.59480657894737,16.02191,33.80892
201702,25.81475013368984,21.81603,32.92287
201703,23.67493076923077,19.38415,28.8265
201704,21.80673236111111,18.66464,24.87263
201705,24.792661710526318,19.22922,33.25296
201706,31.5220919138756,25.48772,53.23777
201707,29.10006084090909,24.93857,37.11925
201708,35.15907583333333,27.51516,47.34845
201709,28.666826825396825,20.66002,34.84289
201710,27.565062777777776,18.05557,37.24431
201711,29.103279375,24.89969,33.22149
201712,28.33687660326087,23.02997,34.68415
201801,35.48212919642857,27.91299,42.07281
201802,36.00333674242424,23.79257,41.52386
201803,36.22168649456522,31.43235,39.89926
201804,32.36280760869565,25.30393,36.52961
201805,30.144439642857144,24.50225,34.08069
201806,29.606598749999996,25.82242,33.43474
201807,29.701154433333333,26.03526,32.94512
201808,36.39499023076923,27.52838,54.93752
201809,47.30641759615385,27.25742,63.48941
201810,42.27940324074074,31.69891,48.43793
201811,34.58048925925927,26.76719,40.13095
201812,32.10134660714286,27.52578,36.45025
201901,35.064515517241375,29.77649,41.74833
201902,33.27597240740741,26.42147,47.74808
201903,34.36739214285714,29.69772,38.13117
201904,33.739914642857144,26.45895,36.83746
201905,31.119004741379314,25.94888,37.36476
201906,29.96956120689655,27.80496,36.63484
201907,33.94349733333334,29.20168,37.06253
201908,34.46540133333333,27.25842,58.35748
201909,40.24567068965517,23.53142,58.54848
201910,43.05274387931034,35.45036,49.61018
201911,47.115012500000006,40.81658,54.34989
201912,51.44784202380953,44.13072,70.75241
202001,56.78858106481482,38.39432,62.62621
202002,57.306395384615385,49.73063,73.6639
202003,53.823552962962964,47.16166,66.35822
202004,52.69643442307692,45.77275,57.94301
202005,52.651115423076924,46.77886,59.20545
202006,70.11567679999999,55.70192,91.78701
202007,77.50155853333334,65.97982,87.02405
202008,69.57987455357144,58.41119,80.19897
202009,61.159288850931674,44.69149,77.52638
202010,70.36712782608696,46.03871,81.39387
202011,83.83850073863636,65.11722,100.0
202012,82.07538146464647,69.99563,92.67908
202101,86.56767216666668,72.67142,98.05773
202102,82.647656125,62.36486,97.03239
202103,78.2537793939394,70.19264,90.69172
202104,72.01016817460317,64.13216,78.50102
202105,69.73298542857142,60.6621,79.92199
202106,70.44525625,59.30386,85.90872
202107,70.47988218181818,62.32358,78.83392
202108,77.58919614035088,59.86383,91.0633
202109,72.9272051388889,51.80858,85.49144
202110,68.95738675213676,58.35447,84.51119
202111,61.39861819004525,51.69935,71.1797
202112,58.63629037815126,45.86715,68.25098
202201,60.370330895833334,45.23362,71.32501
202202,63.218745051282056,48.71671,73.05603
202203,62.337854579831934,48.74737,70.26699
202204,62.22634191964286,54.86136,70.176
202205,60.76790085416667,53.1558,69.84792
202206,60.450725,51.88394,69.73989
202207,57.9738509375,49.37188,66.66065
202208,59.838458676470594,50.8167,70.43214
202209,58.86391384615385,41.94094,71.64147
202210,59.806440683760684,42.33075,69.11398
202211,59.680068472222224,51.24961,70.01246
202212,57.59541888157895,43.07531,68.81876
202301,66.59804420454546,45.21919,80.14867
202302,69.33576066666666,58.47953,79.31432
202303,60.42433745614035,49.53823,69.79841
202304,56.56469464114832,48.13469,66.95066
202305,55.536817590909095,45.56612,63.63632
202306,54.11954925,44.18984,61.08899
202307,51.3557175,42.96368,58.51541
202308,52.50626002525252,43.66214,61.02145
202309,52.41192647727273,34.14022,62.50556
202310,50.864784375,38.44562,60.8525
202311,51.346572732919256,42.36843,57.00325
202312,49.68982273809524,40.26182,57.23533
202401,55.36318756666667,45.42041,65.23487
202402,52.018135208333334,37.79566,65.28277
202403,50.47730113333334,43.25188,56.48977
202404,46.4305584,41.2535,54.11741
202405,45.697469999999996,40.4404,53.02833
